question_num,question_text,option_a,option_b,option_c,option_d,correct_answer,points
1,What are the observational units in a study of exercise and heart rate?,Heart rate measurements,Volunteers,Exercise sessions,Minutes,B,2
2,Is heart rate a categorical or quantitative variable?,Categorical,Quantitative,Ordinal,Nominal,B,2
3,Students self-select to attend office hours. Can we conclude office hours cause higher exam scores?,Yes - clear relationship exists,Yes - students improved,No - lack of random assignment,No - sample too small,C,2
4,Which plot is best for displaying test scores (0-100) for 120 students?,Bar graph,Scatterplot,Histogram,Pie chart,C,2
5,What is the statistic if 68% of 200 students in a sample use social media >2 hours/day?,The population proportion,68% or 0.68,200 students,Social media usage,B,2
6,"A 95% CI for proportion is (0.614, 0.746). What is the margin of error?",0.132,0.680,0.066,0.025,C,2
7,A researcher surveys students at the library entrance. What sampling method?,Random sampling,Stratified sampling,Convenience sampling,Systematic sampling,C,2
8,"Events A and B are independent. P(A)=0.4 and P(B)=0.7. Calculate P(A|B).",0.28,0.4,0.7,0.82,B,2
9,"Events A and B are independent. P(A)=0.4 and P(B)=0.7. Calculate P(A∩B).",0.28,0.4,0.7,0.82,A,2
10,"Events C and D are mutually exclusive. P(C)=0.25 and P(D)=0.35. Calculate P(C|D).",0.25,0.35,0.6,0,D,2
11,"Events C and D are mutually exclusive. P(C)=0.25 and P(D)=0.35. Calculate P(C∪D).",0.25,0.35,0.6,0,C,2
12,What probability concept: probability a lightbulb lasts less than 1000 hours?,PMF for discrete RV,PDF for continuous RV,CDF for discrete RV,CDF for continuous RV,D,2
13,What probability concept: probability a die shows exactly 4?,PMF for discrete RV,PDF for continuous RV,CDF for discrete RV,CDF for continuous RV,A,2
14,What probability concept: probability email is spam given it has certain keywords?,PMF,CDF,Conditional probability,Bayes' Theorem,D,2
15,Which test: Is the average height of male cadets greater than 70 inches?,One-proportion z-test,One-sample t-test,Two-sample t-test,Chi-square test,B,2
16,Which test: Do engineering majors have higher GPAs than humanities majors?,One-proportion z-test,One-sample t-test,Two-sample t-test,Paired t-test,C,2
